Trinity_ID	178	359	463	cluster	V2.x	uniprot_acc_ID	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V2.y	V3	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
TRINITY_DN34520_c0_g1_i5	0	81	0	1	sp	Q8VHG2	AMOT_MOUSE	38.3	376	214	6	1310	2416	411	775	8.5e-50	202.2	AMOT_MOUSE	reviewed	Angiomotin	Amot Kiaa1071	Mus musculus (Mouse)	1126	actin cytoskeleton organization [GO:0030036]; blood vessel endothelial cell migration [GO:0043534]; blood vessel morphogenesis [GO:0048514]; cell migration involved in gastrulation [GO:0042074]; cellular protein localization [GO:0034613]; chemotaxis [GO:0006935]; establishment of cell polarity involved in ameboidal cell migration [GO:0003365]; gastrulation with mouth forming second [GO:0001702]; hippo signaling [GO:0035329]; in utero embryonic development [GO:0001701]; negative regulation of angiogenesis [GO:0016525]; negative regulation of GTPase activity [GO:0034260]; negative regulation of vascular permeability [GO:0043116]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of embryonic development [GO:0040019]; regulation of cell migration [GO:0030334]; regulation of small GTPase mediated signal transduction [GO:0051056]; vasculogenesis [GO:0001570]	actin filament [GO:0005884]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; endocytic vesicle [GO:0030139]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; ruffle [GO:0001726]; stress fiber [GO:0001725]	angiostatin binding [GO:0043532]; receptor activity [GO:0004872]	actin filament [GO:0005884]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; endocytic vesicle [GO:0030139]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; ruffle [GO:0001726]; stress fiber [GO:0001725]; angiostatin binding [GO:0043532]; receptor activity [GO:0004872]; actin cytoskeleton organization [GO:0030036]; blood vessel endothelial cell migration [GO:0043534]; blood vessel morphogenesis [GO:0048514]; cell migration involved in gastrulation [GO:0042074]; cellular protein localization [GO:0034613]; chemotaxis [GO:0006935]; establishment of cell polarity involved in ameboidal cell migration [GO:0003365]; gastrulation with mouth forming second [GO:0001702]; hippo signaling [GO:0035329]; in utero embryonic development [GO:0001701]; negative regulation of angiogenesis [GO:0016525]; negative regulation of GTPase activity [GO:0034260]; negative regulation of vascular permeability [GO:0043116]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of embryonic development [GO:0040019]; regulation of cell migration [GO:0030334]; regulation of small GTPase mediated signal transduction [GO:0051056]; vasculogenesis [GO:0001570]	GO:0001570; GO:0001701; GO:0001702; GO:0001725; GO:0001726; GO:0003365; GO:0004872; GO:0005737; GO:0005884; GO:0005923; GO:0006935; GO:0008180; GO:0009897; GO:0009986; GO:0016021; GO:0016525; GO:0030027; GO:0030036; GO:0030139; GO:0030334; GO:0031410; GO:0034260; GO:0034613; GO:0035329; GO:0040019; GO:0042074; GO:0043116; GO:0043532; GO:0043534; GO:0043536; GO:0048514; GO:0051056
TRINITY_DN691_c3_g1_i15	39	62	3	1	sp	Q90941	PB1_CHICK	32.1	1758	951	36	586	5595	22	1624	2.1e-233	812	PB1_CHICK	reviewed	Protein polybromo-1	PBRM1 PB1	Gallus gallus (Chicken)	1633	covalent chromatin modification [GO:0016569]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	nucleus [GO:0005634]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]	nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; covalent chromatin modification [GO:0016569]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0003682; GO:0005634; GO:0006351; GO:0006355; GO:0016569
TRINITY_DN48763_c1_g1_i1	5847	13418	6144	1	sp	B0FWD1	COX3_AEDAE	70	257	77	0	1786	2556	2	258	1e-99	366.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17994_c1_g1_i4	0	0	1	3	sp	Q63054	ICA69_RAT	39	525	249	10	180	1739	7	465	6.5e-77	290	ICA69_RAT	reviewed	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	Ica1	Rattus norvegicus (Rat)	480	neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein homodimerization activity [GO:0043496]	cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]	protein domain specific binding [GO:0019904]	cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]; protein domain specific binding [GO:0019904]; neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein homodimerization activity [GO:0043496]	GO:0000139; GO:0005795; GO:0005829; GO:0006836; GO:0019904; GO:0030054; GO:0030425; GO:0030667; GO:0030672; GO:0043496; GO:0048471; GO:0050796
TRINITY_DN1736_c1_g1_i1	19	701	0	1	sp	O97159	CHDM_DROME	66.2	1955	507	21	542	6226	121	1982	0	1894.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2216_c0_g1_i4	8	0	134	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3778_c0_g1_i12	87	34	0	2	sp	P33175	KIF5A_MOUSE	59	939	360	7	633	3401	6	935	7.7e-268	925.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN98711_c0_g1_i1	1893	1445	34	2	sp	O77245	E75_METEN	91.1	416	36	1	501	1748	103	517	6.6e-207	722.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17994_c1_g1_i8	61	89	6	1	sp	Q63054	ICA69_RAT	39	525	249	10	180	1739	7	465	6.5e-77	290	ICA69_RAT	reviewed	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	Ica1	Rattus norvegicus (Rat)	480	neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein homodimerization activity [GO:0043496]	cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]	protein domain specific binding [GO:0019904]	cell junction [GO:0030054]; cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]; protein domain specific binding [GO:0019904]; neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein homodimerization activity [GO:0043496]	GO:0000139; GO:0005795; GO:0005829; GO:0006836; GO:0019904; GO:0030054; GO:0030425; GO:0030667; GO:0030672; GO:0043496; GO:0048471; GO:0050796
TRINITY_DN4235_c1_g1_i7	7803	4564	0	2	sp	P21522	ROA1_SCHAM	68.7	182	56	1	174	719	8	188	2.9e-69	265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN276_c2_g2_i8	0	213	0	1	sp	Q9DBY1	SYVN1_MOUSE	73.6	326	85	1	804	1778	10	335	1e-136	489.6	SYVN1_MOUSE	reviewed	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	Syvn1 Hrd1 Kiaa1810	Mus musculus (Mouse)	612	endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; in utero embryonic development [GO:0001701]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein catabolic process [GO:0030163]; protein K48-linked ubiquitination [GO:0070936]; protein N-linked glycosylation via asparagine [GO:0018279]; protein polyubiquitination [GO:0000209]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]	Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum quality control compartment [GO:0044322]; Hrd1p ubiquitin ligase complex [GO:0000836]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]; ubiquitin ligase complex [GO:0000151]	ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase activity involved in ERAD pathway [GO:1904264]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]	Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum quality control compartment [GO:0044322]; Hrd1p ubiquitin ligase complex [GO:0000836]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]; ubiquitin ligase complex [GO:0000151]; ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase activity involved in ERAD pathway [GO:1904264]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; in utero embryonic development [GO:0001701]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein catabolic process [GO:0030163]; protein K48-linked ubiquitination [GO:0070936]; protein N-linked glycosylation via asparagine [GO:0018279]; protein polyubiquitination [GO:0000209]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0000151; GO:0000209; GO:0000836; GO:0000839; GO:0001701; GO:0005654; GO:0005783; GO:0005790; GO:0006986; GO:0016020; GO:0016021; GO:0016567; GO:0018279; GO:0030163; GO:0030433; GO:0030968; GO:0030970; GO:0036503; GO:0036513; GO:0042787; GO:0044322; GO:0046872; GO:0050821; GO:0051082; GO:0051087; GO:0051117; GO:0061630; GO:0070936; GO:1902236; GO:1904264; GO:1990381
TRINITY_DN15422_c0_g1_i4	94	148	0	1	sp	O95319	CELF2_HUMAN	55.2	533	170	11	920	2485	34	508	5.5e-99	365.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN15508_c0_g1_i3	38	106	26	1	sp	Q14586	ZN267_HUMAN	35.4	260	157	7	264	1034	487	738	6.1e-40	167.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN34022_c0_g1_i2	175	8	19	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN213_c0_g1_i2	0	93	0	1	sp	P41900	T2FB_DROME	53.3	259	112	3	148	897	13	271	9.2e-73	276.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2708_c0_g1_i2	378	40	18	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN186_c2_g1_i3	124	1689	0	1	sp	P48375	FKB12_DROME	75	108	27	0	163	486	1	108	6.4e-44	181.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2789_c0_g3_i2	0	542	4	1	sp	Q5FYA8	ARSH_HUMAN	39.9	561	304	10	430	2091	7	541	3.2e-98	361.3	ARSH_HUMAN	reviewed	Arylsulfatase H (ASH) (EC 3.1.6.-)	ARSH	Homo sapiens (Human)	562	glycosphingolipid metabolic process [GO:0006687]; post-translational protein modification [GO:0043687]	endoplasmic reticulum lumen [GO:0005788]; integral component of membrane [GO:0016021]	arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]	endoplasmic reticulum lumen [GO:0005788]; integral component of membrane [GO:0016021]; arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; glycosphingolipid metabolic process [GO:0006687]; post-translational protein modification [GO:0043687]	GO:0004065; GO:0005788; GO:0006687; GO:0016021; GO:0043687; GO:0046872
TRINITY_DN27990_c0_g1_i5	0	132	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
