yourlist:M20200825A94466D2655679D1FD8953E075198DA8554439Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0DMQ6	P0DMQ6	DHSO_CHICK	reviewed	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Polyol dehydrogenase)	SORD	Gallus gallus (Chicken)	355
B0WIW5	B0WIW5	DDRGK_CULQU	reviewed	DDRGK domain-containing protein 1	CPIJ007479	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	287
Q8VI75	Q8VI75	IPO4_MOUSE	reviewed	Importin-4 (Imp4) (Importin-4a) (Imp4a) (Ran-binding protein 4) (RanBP4)	Ipo4 Imp4a Ranbp4	Mus musculus (Mouse)	1082
Q8TEX9	Q8TEX9	IPO4_HUMAN	reviewed	Importin-4 (Imp4) (Importin-4b) (Imp4b) (Ran-binding protein 4) (RanBP4)	IPO4 IMP4B RANBP4	Homo sapiens (Human)	1081
O88947	O88947	FA10_MOUSE	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Mus musculus (Mouse)	481
Q64375	Q64375	SC65_RAT	reviewed	Endoplasmic reticulum protein SC65 (Leprecan-like protein 4) (Prolyl 3-hydroxylase family member 4) (Synaptonemal complex protein SC65)	P3h4 Leprel4 Sc65	Rattus norvegicus (Rat)	443
Q4FZQ6	Q4FZQ6	PR38A_XENLA	reviewed	Pre-mRNA-splicing factor 38A	prpf38a	Xenopus laevis (African clawed frog)	312
Q6DHU4	Q6DHU4	PR38A_DANRE	reviewed	Pre-mRNA-splicing factor 38A	prpf38a zgc:92059	Danio rerio (Zebrafish) (Brachydanio rerio)	313
O64650	O64650	RS271_ARATH	reviewed	40S ribosomal protein S27-1	RPS27A ARS27C At2g45710 F17K2.35 F4I18.31	Arabidopsis thaliana (Mouse-ear cress)	84
Q8SQP9	Q8SQP9	PSA7_ENCCU	reviewed	Probable proteasome subunit alpha type-7 (EC 3.4.25.1) (26S proteasome alpha-type subunit PRE10) (Multicatalytic endopeptidase complex subunit PRE10)	PRE10 ECU09_0330	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	242
O02485	O02485	YDJ1_CAEEL	reviewed	Uncharacterized protein ZK1073.1	ZK1073.1	Caenorhabditis elegans	325
P24527	P24527	LKHA4_MOUSE	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase)	Lta4h	Mus musculus (Mouse)	611
Q95SX8	Q95SX8	NAA60_DROME	reviewed	N-alpha-acetyltransferase 60 (dNaa60) (EC 2.3.1.259) (EC 2.3.1.48) (NatF catalytic subunit)	Naa60 CG18177	Drosophila melanogaster (Fruit fly)	276
B7PS00	B7PS00	LIS1_IXOSC	reviewed	Lissencephaly-1 homolog	IscW_ISCW007420	Ixodes scapularis (Black-legged tick) (Deer tick)	411
Q7TSX5	Q7TSX5	SMS1_RAT	reviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23)	Sgms1 Mob Tmem23	Rattus norvegicus (Rat)	419
Q6CQE5	Q6CQE5	TAR1_KLULA	reviewed	Protein TAR1	TAR1-A KLLA0D17600g; TAR1-B KLLA0D17732g; TAR1-C KLLA0D17864g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	109
Q8TGM5	Q8TGM5	ART3_YEAST	reviewed	Putative uncharacterized protein ART3 (Antisense to ribosomal RNA transcript protein 3)	ART3 YLR154W-E	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	67
Q5T4D3	Q5T4D3	TMTC4_HUMAN	reviewed	Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 4)	TMTC4	Homo sapiens (Human)	741
Q6XIP0	Q6XIP0	NHP2_DROYA	reviewed	H/ACA ribonucleoprotein complex subunit 2-like protein (H/ACA snoRNP protein NHP2)	NHP2 GE20000	Drosophila yakuba (Fruit fly)	160
Q5RGA4	Q5RGA4	MYSM1_DANRE	reviewed	Histone H2A deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)	mysm1 si:ch211-59d15.8	Danio rerio (Zebrafish) (Brachydanio rerio)	822
Q6IQ26	Q6IQ26	DEN5A_HUMAN	reviewed	DENN domain-containing protein 5A (Rab6-interacting protein 1) (Rab6IP1)	DENND5A KIAA1091 RAB6IP1	Homo sapiens (Human)	1287
Q60841	Q60841	RELN_MOUSE	reviewed	Reelin (EC 3.4.21.-) (Reeler protein)	Reln Rl	Mus musculus (Mouse)	3461
Q8BW56	Q8BW56	GTDC1_MOUSE	reviewed	Glycosyltransferase-like domain-containing protein 1	Gtdc1	Mus musculus (Mouse)	445
Q9BX10	Q9BX10	GTPB2_HUMAN	reviewed	GTP-binding protein 2	GTPBP2	Homo sapiens (Human)	602
Q9P7J6	Q9P7J6	RS17B_SCHPO	reviewed	40S ribosomal protein S17-B	rps1702 rps17b SPCC24B10.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	132
Q43292	Q43292	RL372_ARATH	reviewed	60S ribosomal protein L37-2	RPL37B At1g52300 F19K6.12	Arabidopsis thaliana (Mouse-ear cress)	95
Q6GQR8	Q6GQR8	ZN329_MOUSE	reviewed	Zinc finger protein 329	Znf329 Zfp329	Mus musculus (Mouse)	522
B5XBI1	B5XBI1	IF43A_SALSA	reviewed	Intraflagellar transport protein 43 homolog A	ift43a	Salmo salar (Atlantic salmon)	207
P58202	P58202	PCP2_SACS2	reviewed	Pyrrolidone-carboxylate peptidase 2 (EC 3.4.19.3) (5-oxoprolyl-peptidase 2) (Pyroglutamyl-peptidase I 2) (PGP-I 2) (Pyrase 2)	pcp2 SSO1607	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	209
A9JRC7	A9JRC7	PP4CB_DANRE	reviewed	Serine/threonine-protein phosphatase 4 catalytic subunit B (PP4C-B) (EC 3.1.3.16)	ppp4cb zgc:172126	Danio rerio (Zebrafish) (Brachydanio rerio)	307
Q6INL2	Q6INL2	KLH30_XENLA	reviewed	Kelch-like protein 30	klhl30	Xenopus laevis (African clawed frog)	589
Q8MS27	Q8MS27	RM35_DROME	reviewed	39S ribosomal protein L35, mitochondrial (L35mt) (MRP-L35)	mRpL35 CG13410	Drosophila melanogaster (Fruit fly)	178
Q8IYL2	Q8IYL2	TRM44_HUMAN	reviewed	Probable tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (Methyltransferase-like protein 19)	TRMT44 C4orf23 METTL19	Homo sapiens (Human)	757
Q9D2Q2	Q9D2Q2	TRM44_MOUSE	reviewed	Probable tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (Methyltransferase-like protein 19)	Trmt44 Mettl19	Mus musculus (Mouse)	713
Q9SGZ5	Q9SGZ5	BXL7_ARATH	reviewed	Probable beta-D-xylosidase 7 (AtBXL7) (EC 3.2.1.-)	BXL7 At1g78060 F28K19.27 F28K19.32	Arabidopsis thaliana (Mouse-ear cress)	767
Q6P9Z8	Q6P9Z8	ORC4_RAT	reviewed	Origin recognition complex subunit 4	Orc4 Orc4l	Rattus norvegicus (Rat)	434
Q94B55	Q94B55	XB31_ARATH	reviewed	Putative E3 ubiquitin-protein ligase XBAT31 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT31) (Protein XB3 homolog 1) (RING-type E3 ubiquitin transferase XB31)	XBAT31 At2g28840 F8N16.13	Arabidopsis thaliana (Mouse-ear cress)	456
Q9W719	Q9W719	HPRT_CHICK	reviewed	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	HPRT1 HPRT	Gallus gallus (Chicken)	218
Q90701	Q90701	TEAD3_CHICK	reviewed	Transcriptional enhancer factor TEF-5 (Cardiac-enriched TEA domain transcription factor 1) (DTEF-1) (TEA domain family member 3) (TEAD-3)	TEAD3 DTEF1 TEF5	Gallus gallus (Chicken)	433
Q6TGZ5	Q6TGZ5	HPPD_DANRE	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	hpd zgc:56326	Danio rerio (Zebrafish) (Brachydanio rerio)	397
Q5BKL0	Q5BKL0	HPPD_XENTR	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	hpd	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	394
Q91437	Q91437	PYR1_SQUAC	reviewed	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD	Squalus acanthias (Spiny dogfish)	2242
A1ZAI5	A1ZAI5	FACR1_DROME	reviewed	Putative fatty acyl-CoA reductase CG5065 (EC 1.2.1.84)	CG5065	Drosophila melanogaster (Fruit fly)	625
Q9UPW8	Q9UPW8	UN13A_HUMAN	reviewed	Protein unc-13 homolog A (Munc13-1)	UNC13A KIAA1032	Homo sapiens (Human)	1703
Q80Z29	Q80Z29	NAMPT_RAT	reviewed	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 homolog) (PBEF) (Visfatin)	Nampt Pbef1	Rattus norvegicus (Rat)	491
Q9WVH6	Q9WVH6	ANGP4_MOUSE	reviewed	Angiopoietin-4 (ANG-4) (Angiopoietin-3) (ANG-3)	Angpt4 Agpt4 Ang3	Mus musculus (Mouse)	509
P81578	P81578	CUPA4_CANPG	reviewed	Cuticle protein AM1239 (CPAM1239)		Cancer pagurus (Rock crab)	112
Q9EST3	Q9EST3	4ET_MOUSE	reviewed	Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1)	Eif4enif1 Clast4	Mus musculus (Mouse)	983
A7ZPX4	A7ZPX4	ISCS_ECO24	reviewed	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS EcE24377A_2815	Escherichia coli O139:H28 (strain E24377A / ETEC)	404
Q5ZIF1	Q5ZIF1	APMAP_CHICK	reviewed	Adipocyte plasma membrane-associated protein	APMAP RCJMB04_27f14	Gallus gallus (Chicken)	415
Q9JLZ8	Q9JLZ8	SIGIR_MOUSE	reviewed	Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8)	Sigirr Tir8	Mus musculus (Mouse)	409
P47989	P47989	XDH_HUMAN	reviewed	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH XDHA	Homo sapiens (Human)	1333
P80457	P80457	XDH_BOVIN	reviewed	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH	Bos taurus (Bovine)	1332
P47990	P47990	XDH_CHICK	reviewed	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH	Gallus gallus (Chicken)	1358
P50153	P50153	GBG4_MOUSE	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	Gng4 Gngt4	Mus musculus (Mouse)	75
Q3KPW4	Q3KPW4	AR6P4_XENLA	reviewed	ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4)	arl6ip4	Xenopus laevis (African clawed frog)	245
Q7Q0Q1	Q7Q0Q1	MCM6_ANOGA	reviewed	DNA replication licensing factor Mcm6 (EC 3.6.4.12)	Mcm6 AGAP010219	Anopheles gambiae (African malaria mosquito)	814
Q6ZPJ3	Q6ZPJ3	UBE2O_MOUSE	reviewed	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)	Ube2o Kiaa1734	Mus musculus (Mouse)	1288
Q25479	Q25479	NKCL_MANSE	reviewed	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter (Na-K-CL symporter)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	1060
Q9HGN1	Q9HGN1	GCN2_SCHPO	reviewed	eIF-2-alpha kinase GCN2 (Serine/threonine-protein kinase gcn2) (EC 2.7.11.1) (Serine/threonine-protein kinase ppk28)	gcn2 ppk28 SPBC36B7.09 SPBP18G5.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1576
P57080	P57080	UBP25_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25) (mUSP25)	Usp25	Mus musculus (Mouse)	1055
Q29BL9	Q29BL9	LMBD2_DROPS	reviewed	LMBR1 domain-containing protein 2 homolog	GA20843	Drosophila pseudoobscura pseudoobscura (Fruit fly)	699
Q94523	Q94523	SDHA_DROME	reviewed	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (FP) (Succinyl coenzyme A synthetase flavoprotein subunit)	SdhA Scs-fp CG17246	Drosophila melanogaster (Fruit fly)	661
P84293	P84293	HCY2_CARAE	reviewed	Hemocyanin subunit 2 (CaeSS2)		Carcinus aestuarii (Green crab) (Carcinus mediterraneus)	650
Q297K8	Q297K8	JAGN_DROPS	reviewed	Protein jagunal	jagn GA10683	Drosophila pseudoobscura pseudoobscura (Fruit fly)	197
Q5R7W2	Q5R7W2	MPCP_PONAB	reviewed	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	SLC25A3 PHC	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	361
Q562E7	Q562E7	WDR81_HUMAN	reviewed	WD repeat-containing protein 81	WDR81	Homo sapiens (Human)	1941
Q5ND34	Q5ND34	WDR81_MOUSE	reviewed	WD repeat-containing protein 81	Wdr81	Mus musculus (Mouse)	1934
E7FEV0	E7FEV0	WDR81_DANRE	reviewed	WD repeat-containing protein 81	wdr81	Danio rerio (Zebrafish) (Brachydanio rerio)	2065
Q500V2	Q500V2	FLY2_ARATH	reviewed	Transmembrane E3 ubiquitin-protein ligase FLY2 (EC 2.3.2.27) (Protein FLYING SAUCER 2) (RING-type E3 ubiquitin transferase FLY2)	FLY2 At2g20650 F23N11.3	Arabidopsis thaliana (Mouse-ear cress)	559
Q7YU24	Q7YU24	MARF_DROME	reviewed	Transmembrane GTPase Marf (EC 3.6.5.-) (Mitochondrial assembly regulatory factor) (Mitofusin)	Marf dmfn CG3869	Drosophila melanogaster (Fruit fly)	810
O95140	O95140	MFN2_HUMAN	reviewed	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	Homo sapiens (Human)	757
Q9NUJ3	Q9NUJ3	T11L1_HUMAN	reviewed	T-complex protein 11-like protein 1	TCP11L1	Homo sapiens (Human)	509
Q8VCN9	Q8VCN9	TBCC_MOUSE	reviewed	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	Tbcc	Mus musculus (Mouse)	341
P17980	P17980	PRS6A_HUMAN	reviewed	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3 TBP1	Homo sapiens (Human)	439
Q8RXN5	Q8RXN5	TYW1_ARATH	reviewed	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wybutosine-synthesizing protein 1 homolog)	TYW1 At1g75200 F22H5.13	Arabidopsis thaliana (Mouse-ear cress)	647
O36015	O36015	TRM7_SCHPO	reviewed	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)	SPAC4F10.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	285
Q5D013	Q5D013	EFMT2_DANRE	reviewed	EEF1A lysine methyltransferase 2 (EC 2.1.1.-) (Methyltransferase-like protein 10) (Protein-lysine N-methyltransferase mettl10)	eef1akmt2 mettl10 zgc:110805	Danio rerio (Zebrafish) (Brachydanio rerio)	233
Q9D853	Q9D853	EFMT2_MOUSE	reviewed	EEF1A lysine methyltransferase 2 (EC 2.1.1.-) (Methyltransferase-like protein 10) (Protein-lysine N-methyltransferase Mettl10)	Eef1akmt2 Mettl10	Mus musculus (Mouse)	244
Q9D6G5	Q9D6G5	TM138_MOUSE	reviewed	Transmembrane protein 138	Tmem138	Mus musculus (Mouse)	162
A5PJY4	A5PJY4	TM138_BOVIN	reviewed	Transmembrane protein 138	TMEM138	Bos taurus (Bovine)	162
Q9Y2I7	Q9Y2I7	FYV1_HUMAN	reviewed	1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase)	PIKFYVE KIAA0981 PIP5K3	Homo sapiens (Human)	2098
P50282	P50282	MMP9_RAT	reviewed	Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB)	Mmp9	Rattus norvegicus (Rat)	708
Q7Z695	Q7Z695	ADCK2_HUMAN	reviewed	Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)	ADCK2 AARF	Homo sapiens (Human)	626
Q8WQI5	Q8WQI5	RS8_SPOFR	reviewed	40S ribosomal protein S8	RpS8	Spodoptera frugiperda (Fall armyworm)	208
Q99383	Q99383	HRP1_YEAST	reviewed	Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB)	HRP1 NAB4 NAB5 YOL123W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
P29074	P29074	PTN4_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG1) (MEG) (PTPase-MEG1)	PTPN4	Homo sapiens (Human)	926
Q08D57	Q08D57	SET1B_XENTR	reviewed	Histone-lysine N-methyltransferase SETD1B (EC 2.1.1.354) (SET domain-containing protein 1B)	setd1b	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	1956
P08962	P08962	CD63_HUMAN	reviewed	CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63)	CD63 MLA1 TSPAN30	Homo sapiens (Human)	238
Q7SXW4	Q7SXW4	EMC3_DANRE	reviewed	ER membrane protein complex subunit 3 (Protein pob) (Transmembrane protein 111)	emc3 pob tmem111 zgc:63727	Danio rerio (Zebrafish) (Brachydanio rerio)	261
Q5I0J5	Q5I0J5	MITD1_RAT	reviewed	MIT domain-containing protein 1	Mitd1	Rattus norvegicus (Rat)	249
Q8WV92	Q8WV92	MITD1_HUMAN	reviewed	MIT domain-containing protein 1	MITD1	Homo sapiens (Human)	249
Q86UX2	Q86UX2	ITIH5_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5)	ITIH5 KIAA1953 PP14776 UNQ311/PRO354	Homo sapiens (Human)	942
Q59S63	Q59S63	PUS1_CANAL	reviewed	tRNA pseudouridine synthase 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase 1) (tRNA-uridine isomerase 1)	PUS1 CAALFM_C602350CA CaO19.10981 CaO19.3477	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	612
Q8T9W1	Q8T9W1	TAGD_DICDI	reviewed	Serine protease/ABC transporter B family protein tagD (EC 3.4.21.-) (Serine protease/ABC transporter tagD)	tagD DDB_G0286123	Dictyostelium discoideum (Slime mold)	1825
O15405	O15405	TOX3_HUMAN	reviewed	TOX high mobility group box family member 3 (CAG trinucleotide repeat-containing gene F9 protein) (Trinucleotide repeat-containing gene 9 protein)	TOX3 CAGF9 TNRC9	Homo sapiens (Human)	576
Q9EPL4	Q9EPL4	METL9_MOUSE	reviewed	Methyltransferase-like protein 9 (DORA reverse strand protein) (DREV)	Mettl9 drev MNCb-5680	Mus musculus (Mouse)	318
A0A1L8HCK2	A0A1L8HCK2	C298A_XENLA	reviewed	Cilia- and flagella-associated protein 298-A (Protein kurly-A)	cfap298-a kur-a	Xenopus laevis (African clawed frog)	290
Q8WU67	Q8WU67	ABHD3_HUMAN	reviewed	Phospholipase ABHD3 (EC 3.1.1.32) (EC 3.1.1.4) (Abhydrolase domain-containing protein 3)	ABHD3	Homo sapiens (Human)	409
Q91ZH7	Q91ZH7	ABHD3_MOUSE	reviewed	Phospholipase ABHD3 (EC 3.1.1.32) (EC 3.1.1.4) (Abhydrolase domain-containing protein 3) (Lung alpha/beta hydrolase 3) (MmLABH3)	Abhd3 Labh3	Mus musculus (Mouse)	411
Q2KJ63	Q2KJ63	KLKB1_BOVIN	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1	Bos taurus (Bovine)	636
O57382	O57382	TLL2_XENLA	reviewed	Tolloid-like protein 2 (EC 3.4.24.-) (Metalloprotease xolloid) (Xenopus tolloid)	tll2 xld	Xenopus laevis (African clawed frog)	1019
Q3UES3	Q3UES3	TNKS2_MOUSE	reviewed	Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2)	Tnks2 Tank2	Mus musculus (Mouse)	1166
Q9UNH7	Q9UNH7	SNX6_HUMAN	reviewed	Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]	SNX6	Homo sapiens (Human)	406
P0C6Y7	P0C6Y7	PRDM9_RAT	reviewed	Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361)	Prdm9	Rattus norvegicus (Rat)	796
Q16QL3	Q16QL3	COQ2_AEDAE	reviewed	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (Coenzyme Q biosynthesis protein 2) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	coq2 AAEL011249	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	441
Q7ZVS8	Q7ZVS8	CMTR2_DANRE	reviewed	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296) (Cap methyltransferase 2) (Cap2 2'O-ribose methyltransferase 2) (MTr2) (FtsJ methyltransferase domain-containing protein 1)	cmtr2 ftsjd1 zgc:55686	Danio rerio (Zebrafish) (Brachydanio rerio)	743
Q6PCJ9	Q6PCJ9	PPT2A_XENLA	reviewed	Lysosomal thioesterase PPT2-A (PPT-2-A) (EC 3.1.2.-)	ppt2-a	Xenopus laevis (African clawed frog)	296
P30876	P30876	RPB2_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2)	POLR2B	Homo sapiens (Human)	1174
Q80TA9	Q80TA9	EPG5_MOUSE	reviewed	Ectopic P granules protein 5 homolog	Epg5 Kiaa1632	Mus musculus (Mouse)	2572
Q9HCE0	Q9HCE0	EPG5_HUMAN	reviewed	Ectopic P granules protein 5 homolog	EPG5 KIAA1632	Homo sapiens (Human)	2579
Q6NUH3	Q6NUH3	NOSIP_XENLA	reviewed	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP)	nosip	Xenopus laevis (African clawed frog)	298
Q9R1P4	Q9R1P4	PSA1_MOUSE	reviewed	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	Psma1	Mus musculus (Mouse)	263
Q7T2U9	Q7T2U9	TFCP2_CHICK	reviewed	Transcription factor CP2	TFCP2	Gallus gallus (Chicken)	496
Q12800	Q12800	TFCP2_HUMAN	reviewed	Alpha-globin transcription factor CP2 (SAA3 enhancer factor) (Transcription factor LSF)	TFCP2 LSF SEF	Homo sapiens (Human)	502
Q811S7	Q811S7	UBIP1_MOUSE	reviewed	Upstream-binding protein 1 (Nuclear factor 2d9) (NF2d9)	Ubp1 Cp2b Nf2d9	Mus musculus (Mouse)	540
P28192	P28192	PTP4_CAEEL	reviewed	Tyrosine-protein phosphatase 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4)	ptp-4 K04D7.4	Caenorhabditis elegans	1159
Q5U4E6	Q5U4E6	GOGA4_RAT	reviewed	Golgin subfamily A member 4	Golga4	Rattus norvegicus (Rat)	2259
Q4JIJ3	Q4JIJ3	METH_BOVIN	reviewed	Methionine synthase (MS) (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	MTR	Bos taurus (Bovine)	1265
B5XB27	B5XB27	KFA_SALSA	reviewed	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	afmid	Salmo salar (Atlantic salmon)	294
